country,d_generation_older,d_holding_period_long,d_investor_type_pro,d_risk_appetite_high,d_sustainability_preferred,gender,generation,holding_period,hurdle_rate,investor_type,motivation_ranking_1,motivation_ranking_2,motivation_ranking_3,motivation_ranking_4,motivation_ranking_5,nps,nps_detractor,nps_passive,nps_promoter,nps_type,risk_appetite,sdg1,sdg2,sdg3,sdg4,sdg5,sdg6,sdg7,sdg8,sdg9,sdg10,sdg11,sdg12,sdg13,sdg14,sdg15,sdg16,sdg17,sustainability_preference,sustainability_returns,rank_environment,rank_resilience,rank_performance,rank_legacy,rank_empowerment
6,1,0,1,1,1,2,3,1, ,5,1,3,4,2,5,7,0,1,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4,3,5,2,4,3,1
1,1,0,1,1,1,2,3,2, ,4,4,1,2,5,3,10,0,0,1,1,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,3,4,3,1,5,2
8,1,0,0,1,1,2,3,2,10,2,1,3,2,5,4,9,0,0,1,1,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,3,5,3,4,1,2
16,0,1,1,1,0,2,4,4, ,3,2,5,1,3,4,1,1,0,0,-1,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,3,5,2,1,4
13,0,0,0,0,1,1,4,2,15,2,4,1,2,3,5,6,1,0,0,-1,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,2,5,1
13,0,0,1,1,1,1,4,2, ,3,5,1,2,3,4,10,0,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5,3,4,3,2,1,5
13,1,1,1,1,0,1,3,3,6,4,1,2,5,3,4,7,0,1,0,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,3,5,4,2,1,3
13,1,0,1,1,1,2,3,2,10,3,1,3,4,2,5,9,0,0,1,1,5,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,5,3,5,2,4,3,1
1, ,1,1,0,1,1, ,3,40,3,1,2,4,5,3,10,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,5,3,5,4,1,3,2
1,1,1,1,1,1,1,2,4,10,3,1,4,2,3,5,10,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5,3,5,3,2,4,1
